szőrzet;név;születés;nem;súly
rövid;Ajax;2010-2-24;kan;4
közepes;Angelina;2010-3-3;szuka;6
szálkás;Antoinette;2010-3-10;szuka;16
hosszú;Aphrodite;2010-3-17;szuka;44
hosszú;April;2010-3-24;kan;53
rövid;Aquamarine;2010-3-31;szuka;50
szálkás;Armor;2010-4-28;szuka;12
hosszú;Asta;2010-5-5;szuka;40
hosszú;Aster;2010-5-12;szuka;11
rövid;Athena;2010-5-19;kan;3
közepes;Atlanta;2010-5-26;szuka;7
rövid;Baby;2010-6-2;szuka;4
közepes;Bagira;2010-6-9;szuka;6
szálkás;Bambi;2010-6-16;kan;16
hosszú;Base;2010-6-23;szuka;44
hosszú;Beamer;2010-6-30;szuka;53
rövid;Beauty;2010-7-7;szuka;50
közepes;Bella;2010-7-14;kan;12
rövid;Belle;2010-7-21;szuka;40
közepes;Bently;2010-7-28;szuka;11
szálkás;Benz;2010-8-4;szuka;3
hosszú;Bessz;2010-8-11;kan;7
hosszú;Bianka;2010-8-18;szuka;4
rövid;Bindi;2010-8-25;szuka;6
közepes;Biscuit;2010-9-1;szuka;16
rövid;Bliss;2010-9-8;kan;44
közepes;Blossom;2010-9-15;szuka;53
szálkás;Blush;2010-9-22;szuka;50
hosszú;Bonbon;2010-9-29;szuka;12
hosszú;Bonnie;2010-10-6;kan;40
rövid;Bonsai;2010-10-13;szuka;11
közepes;Boots;2010-10-20;szuka;3
rövid;Bot;2010-10-27;szuka;7
közepes;Boxi;2010-11-3;kan;4
szálkás;Brandi;2010-11-10;szuka;6
hosszú;Bricks;2010-11-17;szuka;16
hosszú;Brindley;2010-11-24;szuka;44
rövid;Brooklyn;2010-12-1;kan;53
közepes;Brunhilda;2010-12-8;szuka;50
rövid;Bug;2010-12-15;szuka;12
közepes;Burly;2010-12-22;szuka;40
szálkás;Button;2010-12-29;kan;11
hosszú;Cabaret;2011-1-5;szuka;3
hosszú;Cali;2011-1-12;szuka;7
rövid;Cambria;2011-1-19;szuka;4
közepes;Cameo;2011-1-26;kan;6
rövid;Candy;2011-2-2;szuka;16
közepes;Carly;2011-2-9;szuka;44
szálkás;Carnation;2011-2-16;szuka;53
hosszú;Casey;2011-2-23;kan;50
hosszú;Cerise;2011-3-2;szuka;12
rövid;Charity;2011-3-9;szuka;40
közepes;Charlie;2011-3-16;szuka;11
rövid;Cher;2011-3-23;kan;3
közepes;Cherry;2011-3-30;szuka;7
szálkás;Chiquita;2011-4-6;szuka;4
hosszú;Chloe;2011-4-13;szuka;6
hosszú;Cinnamon;2011-4-20;kan;16
rövid;Cleo;2011-4-27;szuka;44
közepes;Climax;2011-5-4;szuka;53
rövid;Clover;2011-5-11;szuka;50
közepes;Coco;2011-5-18;kan;12
szálkás;Comet;2011-5-25;szuka;40
hosszú;Cookie;2011-6-1;szuka;11
hosszú;Court;2011-6-8;szuka;3
rövid;Courtney;2011-6-15;kan;7
közepes;Crystal;2011-6-22;szuka;4
rövid;Cupid;2011-6-29;szuka;6
közepes;Dahlia;2011-7-6;szuka;16
